2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:initialize_mt5:88 | Server: MetaQuotes-Demo, Balance: 82808.54
2025-08-06 22:24:07 | SUCCESS  | __main__:_test_mt5_connection:118 | MT5 connection test completed in 0.02s
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:138 | Testing data fetching...
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   H1: 500 candles, quality: 0.616
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   H4: 500 candles, quality: 0.588
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   H1: 500 candles, quality: 0.616
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   H4: 500 candles, quality: 0.588
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:143 | Testing data fetch for USDJPY
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   M15: 500 candles, quality: 0.616
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   H1: 500 candles, quality: 0.616
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:07 | INFO     | __main__:_test_data_fetching:181 |   H4: 500 candles, quality: 0.588
2025-08-06 22:24:07 | SUCCESS  | __main__:_test_data_fetching:193 | Data fetching tests completed
2025-08-06 22:24:07 | INFO     | __main__:_test_multi_timeframe_fetching:198 | Testing multi-timeframe data fetching...
2025-08-06 22:24:07 | INFO     | __main__:_test_multi_timeframe_fetching:203 | Testing multi-TF fetch for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching M15 data for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for EURUSD M15: 0.62
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching H1 data for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for EURUSD H1: 0.62
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching H4 data for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for EURUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for EURUSD H4: 0.59
2025-08-06 22:24:07 | INFO     | __main__:_test_multi_timeframe_fetching:241 |   Multi-TF: 1500 total candles in 0.08s
2025-08-06 22:24:07 | INFO     | __main__:_test_multi_timeframe_fetching:203 | Testing multi-TF fetch for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:273 | Fetching M15 data for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for GBPUSD
2025-08-06 22:24:07 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for GBPUSD M15: 0.62
